,n_features,score
0,0,0.870149835496
1,1,0.869967293451
2,2,0.862373807197
3,3,0.866399671025
4,4,0.867440718483
5,5,0.8686906059
6,6,0.868910045697
7,7,0.869965743738
8,8,0.869204297331
9,9,0.869927412256
10,10,0.869667340208
11,11,0.870062991082
12,12,0.832108296665
13,13,0.87029566225
14,14,0.870095396493
15,15,0.869786595361
16,16,0.870376404068
17,17,0.869932473158
18,18,0.870058117528
19,19,0.869575757347
20,20,0.859346432433
21,21,0.870127189766
22,22,0.870809139039
23,23,0.870512526555
24,24,0.870054648578
25,25,0.869993721187
26,26,0.870271636574
27,27,0.870363305572
28,28,0.870131334584
29,29,0.863978753144
30,30,0.870251337016
31,31,0.869850084801
32,32,0.869807005441
33,33,0.870320829794
34,34,0.8699565264
35,35,0.870113458811
36,36,0.869877701953
37,37,0.869915201127
38,38,0.870217870419
39,39,0.870402894739
40,40,0.869791696009
41,41,0.870413403619
42,42,0.870471795866
43,43,0.870128063531
44,44,0.870465341055
45,45,0.999466224692
46,46,0.870022684942
47,47,0.870337932972
48,48,0.870486591631
49,49,0.870525322996
50,50,0.869389563939
51,51,0.870439486933
52,52,0.870368188437
53,53,0.830947465466
54,54,0.869962244835
55,55,0.87066334264
56,56,0.87041003927
57,57,0.870445637438
58,58,0.870309049024
59,59,0.8702444273
60,60,0.870337945345
61,61,0.870292632256
62,62,0.870482383043
63,63,0.870640516688
64,64,0.870550449203
65,65,0.870478019413
66,66,0.870465416169
67,67,0.870537333922
68,68,0.870089706267
69,69,0.870626132819
70,70,0.870564008445
71,71,0.870790839439
72,72,0.87033658187
73,73,0.999431231507
74,74,0.870538558031
75,75,0.870049167111
76,76,0.87088280372
77,77,0.999437404938
78,78,0.870082981626
79,79,0.87040773981
80,80,0.870735905552
81,81,0.870474555404
82,82,0.870819945589
83,83,0.870527350368
84,84,0.871253717923
85,85,0.870373344548
86,86,0.870553075176
87,87,0.870650285721
88,88,0.870243483676
89,89,0.870307049901
90,90,0.864265568857
91,91,0.870256453588
92,92,0.830267774998
93,93,0.870423168595
94,94,0.870602073447
95,95,0.870117404302
96,96,0.870355203813
97,97,0.854641300206
98,98,0.870042549691
99,99,0.870501047994
100,100,0.870177480021
101,101,0.870785764847
102,102,0.870531896011
103,103,0.870257982525
104,104,0.869982153742
105,105,0.870108261999
106,106,0.870531916185
107,107,0.870322100053
108,108,0.870873860463
109,109,0.870471881924
110,110,0.870490886797
111,111,0.870258854178
112,112,0.870058383092
113,113,0.869840648805
114,114,0.870373886738
115,115,0.869887765555
116,116,0.869989338059
117,117,0.86979558031
118,118,0.869446044278
119,119,0.870331766479
120,120,0.870687153988
121,121,0.870843239018
122,122,0.870746135853
123,123,0.87007884338
124,124,0.870327134859
125,125,0.870252854544
126,126,0.869566426981
127,127,0.870360161994
128,128,0.870303474928
129,129,0.870207594763
130,130,0.869943227909
131,131,0.870116534241
132,132,0.869965005964
133,133,0.869476046987
134,134,0.869594799334
135,135,0.869788212388
136,136,0.869924915582
137,137,0.869732579992
138,138,0.862756233219
139,139,0.868974686753
140,140,0.868607523092
141,141,0.868934237905
142,142,0.869141008094
143,143,0.869833937935
144,144,0.868850807453
145,145,0.869460150885
146,146,0.869802785951
147,147,0.870220590692
148,148,0.869536744623
149,149,0.870006000104
150,150,0.869995209269
151,151,0.869649204961
152,152,0.869239781193
153,153,0.869880374277
154,154,0.869847725863
155,155,0.869413495443
156,156,0.869604533522
157,157,0.869410784964
158,158,0.869655025362
159,159,0.870125370238
160,160,0.867693614056
161,161,0.868457833241
162,162,0.869384612724
163,163,0.868911522122
164,164,0.869327380567
165,165,0.868819919489
166,166,0.868764140006
167,167,0.868513939318
168,168,0.869696457935
169,169,0.869521008222
170,170,0.869860500659
171,171,0.868919235181
172,172,0.869201315198
173,173,0.869924747252
174,174,0.868856510172
175,175,0.82911600387
176,176,0.869188840418
177,177,0.868142073656
178,178,0.868652933182
179,179,0.868843785898
180,180,0.868108341729
181,181,0.86855601812
182,182,0.868480619768
183,183,0.867851926847
184,184,0.867574856647
185,185,0.868571264691
186,186,0.868480769635
187,187,0.868848972289
188,188,0.867912866457
189,189,0.868213648264
190,190,0.868684589041
191,191,0.999616989034
192,192,0.999541825164
193,193,0.866831102603
194,194,0.867337333169
195,195,0.868673788855
196,196,0.86842950867
197,197,0.868338190498
198,198,0.86797699958
199,199,0.867380844912
200,200,0.868164974763
201,201,0.867927561365
202,202,0.868561478906
203,203,0.867028992275
204,204,0.868034437106
205,205,0.868172889969
206,206,0.868107466895
207,207,0.852560459246
208,208,0.867226558729
209,209,0.868392746033
210,210,0.867016220019
211,211,0.867303031604
212,212,0.867881692
213,213,0.867524519534
214,214,0.867475732762
215,215,0.866649462518
216,216,0.865666028885
217,217,0.867012169059
218,218,0.866167637297
219,219,0.867419046219
220,220,0.866066389522
221,221,0.867426325424
222,222,0.827337615889
223,223,0.867554295463
224,224,0.866886495852
225,225,0.868041587325
226,226,0.867009610559
227,227,0.86741271223
228,228,0.867031884688
229,229,0.867516773012
230,230,0.867024369679
231,231,0.866137256236
232,232,0.867216152336
233,233,0.86780167682
234,234,0.866464312562
235,235,0.867195731915
236,236,0.865622670673
237,237,0.867034085009
238,238,0.867119717086
239,239,0.866585133899
240,240,0.852135834523
241,241,0.865323767439
242,242,0.86632624104
243,243,0.866973094549
244,244,0.866130770501
245,245,0.866945511535
246,246,0.867150602189
247,247,0.865081377445
248,248,0.865775818363
249,249,0.865849220702
250,250,0.865318432497
251,251,0.865495771285
252,252,0.866582418801
253,253,0.866516556144
254,254,0.864744338988
255,255,0.866878796958
256,256,0.86627538584
257,257,0.866171507593
258,258,0.866363591978
259,259,0.866332723747
260,260,0.866790584691
261,261,0.866853747851
262,262,0.866774943016
263,263,0.86567912069
264,264,0.86626621609
265,265,0.866029098457
266,266,0.865111061394
267,267,0.826217489476
268,268,0.864674465077
269,269,0.865940186016
270,270,0.866919983813
271,271,0.864767283183
272,272,0.86521897887
273,273,0.865912458897
274,274,0.865522392379
275,275,0.864534060359
276,276,0.864950380072
277,277,0.86409797563
278,278,0.865587881496
279,279,0.865130733066
280,280,0.864657432515
281,281,0.86507068468
282,282,0.864713798707
283,283,0.86457190475
284,284,0.865411383123
285,285,0.859537896787
286,286,0.855882617891
287,287,0.864762273244
288,288,0.865701917758
289,289,0.865425351835
290,290,0.866024330412
291,291,0.86496811341
292,292,0.864986341559
293,293,0.826773627446
294,294,0.865217008069
295,295,0.865869745282
296,296,0.864034579928
297,297,0.865269493705
298,298,0.865876827072
299,299,0.864258579412
300,300,0.865354015063
301,301,0.86571855128
302,302,0.856341745856
303,303,0.86384390839
304,304,0.863757617109
305,305,0.999559749936
306,306,0.863629610426
307,307,0.864892107698
308,308,0.864443136101
309,309,0.8645543736
310,310,0.827209590541
311,311,0.864499485783
312,312,0.855891093751
313,313,0.864164782668
314,314,0.863319928289
315,315,0.864451964417
316,316,0.862721110729
317,317,0.863113320629
318,318,0.864178257772
319,319,0.864495264661
320,320,0.863581544756
321,321,0.863822689245
322,322,0.864310241932
323,323,0.864892481238
324,324,0.863569755317
325,325,0.863294938621
326,326,0.864049638114
327,327,0.999601679609
328,328,0.864782685711
329,329,0.863716922037
330,330,0.864916611266
331,331,0.863637491855
332,332,0.999560139668
333,333,0.863117339563
334,334,0.864451636948
335,335,0.863567712872
336,336,0.86422921096
337,337,0.863895644434
338,338,0.863828560649
339,339,0.863536309803
340,340,0.862724239388
341,341,0.864103433194
342,342,0.855185299596
343,343,0.849601290799
344,344,0.863579516315
345,345,0.826174137233
346,346,0.864872686036
347,347,0.862603467108
348,348,0.819800714952
349,349,0.862986136299
350,350,0.862723750627
351,351,0.863911655477
352,352,0.863924260231
353,353,0.863642011482
354,354,0.864808876285
355,355,0.863628867197
356,356,0.862093251426
357,357,0.863030933101
358,358,0.862123808899
359,359,0.84858739208
360,360,0.854217928715
361,361,0.863283858513
362,362,0.86269009366
363,363,0.85608388907
364,364,0.863356476887
365,365,0.862769532945
366,366,0.863319254413
367,367,0.864122621994
368,368,0.863081830153
369,369,0.86463769353
370,370,0.863593200606
371,371,0.865399987438
372,372,0.86224088331
373,373,0.862275546723
374,374,0.861420761264
375,375,0.863316557496
376,376,0.863805521487
377,377,0.826707332479
378,378,0.863060375758
379,379,0.862642931114
380,380,0.861570485052
381,381,0.862837044422
382,382,0.861998630055
383,383,0.862633033095
384,384,0.861495715976
385,385,0.86177938784
386,386,0.862454474811
387,387,0.862259071552
388,388,0.862642042195
389,389,0.862901950726
390,390,0.86243065268
391,391,0.862544577744
392,392,0.862153435956
393,393,0.846753587333
394,394,0.862584729236
395,395,0.82767232986
396,396,0.862902900635
397,397,0.860218794252
398,398,0.861597090624
399,399,0.862408808743
400,400,0.863267965633
401,401,0.862036014335
402,402,0.86244089361
403,403,0.862545975076
404,404,0.861628697673
405,405,0.862722442172
406,406,0.860409474266
407,407,0.861454628179
408,408,0.862583462159
409,409,0.86279370268
410,410,0.862168112046
411,411,0.862442172659
412,412,0.862306600197
413,413,0.862298755606
414,414,0.862199009723
415,415,0.861941529751
416,416,0.862239295842
417,417,0.861227354259
418,418,0.86230799033
419,419,0.860862445981
420,420,0.861349689863
421,421,0.862805993775
422,422,0.862106320396
423,423,0.862383312018
424,424,0.861641394494
425,425,0.861842446802
426,426,0.862118686124
427,427,0.861800813552
428,428,0.862223609809
429,429,0.861182233925
430,430,0.861065767428
431,431,0.860790611137
432,432,0.861021776475
433,433,0.862369222798
434,434,0.861150494082
435,435,0.860550545903
436,436,0.860304824742
437,437,0.861108223713
438,438,0.861304817264
439,439,0.860941491594
440,440,0.861852560451
441,441,0.863042953459
442,442,0.862553080937
443,443,0.861743400651
444,444,0.862100728118
445,445,0.861430507423
446,446,0.852107287168
447,447,0.853678705305
448,448,0.999534702682
449,449,0.861086237148
450,450,0.861913172552
451,451,0.861936245331
452,452,0.862703054574
453,453,0.861148846981
454,454,0.853878409906
455,455,0.999590457043
456,456,0.861151963226
457,457,0.861362149956
458,458,0.861490916975
459,459,0.860473754075
460,460,0.862005559865
461,461,0.859342362712
462,462,0.860519191457
463,463,0.860486553584
464,464,0.861048760848
